Id,CompanyName,CompanyTypeId,PrivateEquityCompanySectors,PrivateEquityPortfolioCompanies,VerticalId,SubVerticalId,NumberOfEmployees,LTMRevenue,LTM EBITA,CurrencyId,EnterpriseValue,YearFounded,ParentCompany,AssetsUnderManagement,AddressLine1,AddressLine2,City,PostCode,Country,ContactId,Website,AdditionalDescription,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
COM_408,Palladium Equity Partners,3,"- Consumer products
- Industrial","- Sahale Snacks
- Kars Snacks",,,,,,1,,,,2.1,,,,,,,www.palladiumequity.com,,,,,
COM_409,Pamplona,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_410,Paylease,1,,,1,3,,,,,105,,,,,,,,,,,,,,,
COM_411,Paymetric,1,,,1,3,,,,,265,,,,,,,,,,,,,,,
COM_412,Peak Rock,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_413,Peak Utility Services,1,,,1,4,,,,,235,,,,,,,,,,,,,,,
COM_414,Pearl,1,,,1,19,,,,,350,,,,,,,,,,,,,,,
COM_415,Pearl Companies,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_416,Pegasus Capital Advisors,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_417,Pennant Foods,1,,,2,27,,,14.0,,,,,,,,,,,,,,,,,
COM_418,Perkins & Marie Callender's,1,,,2,27,,,40.0,,,,,,,,,,,,,,,,,
COM_419,Permira,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_420,Pet Supplies Plus,1,,,2,25,,,51.0,,400.0,,,,,,,,,,,,,,,
COM_421,Peter J Solomon,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_422,Petmate,1,,,2,24,,,40.1,,,,,,,,,,,,,,,,,
COM_423,Petsky Prunier,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_424,Phreesia,1,,,1,3,,,,,,,,,,,,,,,,,,,,
COM_425,Pier 1 Imports,1,,,2,25,,,147.0,,,,,,,,,,,,,,,,,
COM_426,Piper Jaffray,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_427,Piper Jaffray,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_428,"Piper Jaffray, North Point",2,,,,,,,,,,,,,,,,,,,,,,,,
COM_429,Planet Payment,1,,,1,3,,,,,174,,,,,,,,,,,,,,,
COM_430,Platinum,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_431,Platinum Equity,3,- Industrial Products,"- SCM Metal Products
- International textile product",,,,,,1,,,,6.5,,,,,,,www.platinumequity.com,,,,,
COM_432,Post Private Brands,1,,,2,26,,,106.9,,,,,,,,,,,,,,,,,
COM_433,Potbelly,1,,,2,27,,,38.64,,,,,,,,,,,,,,,,,
COM_434,Potpourri Group,1,,,2,24,,,36.0,,,,,,,,,,,,,,,,,
COM_435,Premier,1,,,3,36,,,56.0,,,,,,,,,,,,,,,,,
COM_436,PrimeSource,1,,,1,4,,,,,1470,,,,,,,,,,,,,,,
COM_437,Priority Payments,1,,,1,3,,,,,,,,,,,,,,,,,,,,
COM_438,Privately Held,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_439,ProEx,1,,,3,29,,,1.9,,18.0,,,,,,,,,,,,,,,
COM_440,Project Cougar,1,,,1,4,,,,,240,,,,,,,,,,,,,,,
COM_441,Project Yoder,1,,,1,38,,,,,250,,,,,,,,,,,,,,,
COM_442,Prometric,1,,,1,37,,,,,1170,,,,,,,,,,,,,,,
COM_443,Public,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_444,Publicly Traded,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_445,Qdoba,1,,,2,27,,,67.0,,,,,,,,,,,,,,,,,
COM_446,Quala,1,,,2,23,,,32.0,,,,,,,,,,,,,,,,,
COM_447,Quality Solutions,1,,,1,8,,,,,,,,,,,,,,,,,,,,
COM_448,Qualtek,1,,,1,5,,,,,500,,,,,,,,,,,,,,,
COM_449,RBC,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_450,RBC / Baird,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_451,RBC Capital Markets,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_452,RECON,1,,,1,37,,,,,232,,,,,,,,,,,,,,,
COM_453,REVA,1,,,3,32,,,11.5,,,,,,,,,,,,,,,,,
COM_454,RW Baird,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_455,RWS Holdings,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_456,RXBAR,1,,,2,26,,,21.8,,,,,,,,,,,,,,,,,
COM_457,Raymond James,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_458,Red Hawk Fire & Security,1,,,1,8,,,,,300,,,,,,,,,,,,,,,
COM_459,Regina,1,,,2,25,,,12.0,,,,,,,,,,,,,,,,,
COM_460,Renaissance Imaging Medical Associates,1,,,3,28,,,19.5,,,,,,,,,,,,,,,,,
COM_461,Restaurant Technology,1,,,1,4,,,,,,,,,,,,,,,,,,,,
COM_462,Resurgent Holding,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_463,Ridgemont,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_464,Riverside,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_465,Rothschild,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_466,Rough Country,1,,,1,7,,,,,530,,,,,,,,,,,,,,,
COM_467,RugsUSA,1,,,2,25,,,39.0,,,,,,,,,,,,,,,,,
COM_468,RxCrossroads,1,,,3,30,,,56.0,,,,,,,,,,,,,,,,,
COM_469,Ryan Herco Flow Solutions,1,,,1,7,,,,,280,,,,,,,,,,,,,,,
COM_470,SIRVA,1,,,1,40,,,,,870,,,,,,,,,,,,,,,
COM_471,SMG,1,,,1,21,,,,,,,,,,,,,,,,,,,,
COM_472,SMS Assist,1,,,1,5,,,,,,,,,,,,,,,,,,,,
COM_473,SRS Distribution,1,,,1,7,,,,,2050,,,,,,,,,,,,,,,
COM_474,"Sagard Holdings, Fairfax Capital",3,,,,,,,,,,,,,,,,,,,,,,,,
COM_475,Sage Payment Solutions,1,,,1,3,,,,,,,,,,,,,,,,,,,,
COM_476,Sandler O’Neill,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_477,Schneider Downs,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_478,Schweiger Dermatology,1,,,3,29,,,12.5,,,,,,,,,,,,,,,,,
COM_479,Seastar Solutions,1,,,1,37,,,,,859,,,,,,,,,,,,,,,
COM_480,Secure 24,1,,,1,5,,,,,,,,,,,,,,,,,,,,
COM_481,Securus Technologies,1,,,1,5,,,,,1900,,,,,,,,,,,,,,,
COM_482,Shamrock,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_483,Shermco,1,,,1,37,,,,,267,,,,,,,,,,,,,,,
COM_484,Shopko,1,,,2,25,,,63.7,,,,,,,,,,,,,,,,,
COM_485,Siegel Management,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_486,Signal Hill,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_487,Signpost,1,,,2,26,,,8.9,,68.0,,,,,,,,,,,,,,,
COM_488,Silverlake / GA,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_489,Sizzling Platter,1,,,2,27,,,43.6,,330.0,,,,,,,,,,,,,,,
COM_490,Smart Carte,1,,,1,12,,,,,,,,,,,,,,,,,,,,
COM_491,SmartThings,1,,,3,32,,,52.0,,,,,,,,,,,,,,,,,
COM_492,Smile Doctors,1,,,3,29,,,38.0,,,,,,,,,,,,,,,,,
COM_493,Smucker Baking & Breakfast Brands,1,,,2,26,,,72.0,,,,,,,,,,,,,,,,,
COM_494,Snooze Eatery,1,,,2,27,,,9.5,,,,,,,,,,,,,,,,,
COM_495,Snowden Lane,1,,,1,13,,,,,,,,,,,,,,,,,,,,
COM_496,Softbank,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_497,Spice World,1,,,2,26,,,45.0,,,,,,,,,,,,,,,,,
COM_498,Spinrite,1,,,2,24,,,32.0,,,,,,,,,,,,,,,,,
COM_499,SquareTwo Financial,1,,,1,13,,,,,,,,,,,,,,,,,,,,
COM_500,Statewide,1,,,2,23,,,3.0,,,,,,,,,,,,,,,,,
COM_501,Steadman Clinic,1,,,3,28,,45.0,4.5,,45.0,,,,,,,,,,,,,,,
COM_502,Stephens,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_503,Stephenson’s,1,,,1,19,,,,,CAD $300,,,,,,,,,,,,,,,
COM_504,Steven-Robert Originals,1,,,2,26,,,23.0,,200.0,,,,,,,,,,,,,,,
COM_505,Stifel,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_506,Strategic Materials,1,,,1,4,,,,,610,,,,,,,,,,,,,,,
COM_507,Summit,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_508,Summit BHC,1,,,3,29,,,13.0,,,,,,,,,,,,,,,,,
COM_509,Sun Capital Partners,3,"- Consumer Brands
- Industrials","- Trulite
- Arrow Tru-Line",,,,,,1,,,,9.0,,,,,,,www.suncappart.com,"- DR knows Marc Leder ( I think)
- They are big in consumer and industrial (building products)",,,,
COM_510,SunGard Insurance,1,,,1,14,,,,,680,,,,,,,,,,,,,,,
COM_511,SunTrust,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_512,SunTrust,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_513,Suntrust,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_514,Sweet Harvest Foods,1,,,2,26,,,24.0,,,,,,,,,,,,,,,,,
COM_515,Sweet Sam's,1,,,2,26,,,2.0,,,,,,,,,,,,,,,,,
COM_516,Synergy Health Partners,1,,,3,28,,,31.6,,,,,,,,,,,,,,,,,
COM_517,SÅsh,1,,,2,25,,,82.8,,612.5,,,,,,,,,,,,,,,
COM_518,TA,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_519,TA Associates,3,,,,,,,,,,,,,,,,,,,,,,,,
COM_520,TM Capital,2,,,,,,,,,,,,,,,,,,,,,,,,
COM_521,TMS,1,,,1,3,,,,,,,,,,,,,,,,,,,,
COM_522,TPG,3,,,,,,,,,,,,,,,,,,,,,,,,
